"station" "longitude" "latitude" "h1" "h2" "h3" "h4" "h5" "h6" "h7" "h8" "h9" "h10" "h11" "h12" "h13" "h14" "h15" "h16" "h17" "h18" "h19" "h20" "h21" "h22" "h23" "h24" "h25" "h26" "h27" "h28" "h29" "h30" "h31" "h32" "h33" "h34" "h35" "h36" "h37" "h38" "h39" "h40" "h41" "h42" "h43" "h44" "h45" "h46" "h47" "h48" "h49" "h50" "h51" "h52" "h53" "h54" "h55" "h56" "h57" "h58" "h59" "h60" "h61" "h62" "h63" "h64" "h65" "h66" "h67" "h68" "h69" "h70" "h71" "h72" "h73" "h74" "h75" "h76" "h77" "h78" "h79" "h80" "h81" "h82" "h83" "h84" "h85" "h86" "h87" "h88" "h89" "h90" "h91" "h92" "h93" "h94" "h95" "h96" "h97" "h98" "h99" "h100" "h101" "h102" "h103" "h104" "h105" "h106" "h107" "h108" "h109" "h110" "h111" "h112" "h113" "h114" "h115" "h116" "h117" "h118" "h119" "h120" "h121" "h122" "h123" "h124" "h125" "h126" "h127" "h128" "h129" "h130" "h131" "h132" "h133" "h134" "h135" "h136" "h137" "h138" "h139" "h140" "h141" "h142" "h143" "h144" "h145" "h146" "h147" "h148" "h149" "h150" "h151" "h152" "h153" "h154" "h155" "h156" "h157" "h158" "h159" "h160" "h161" "h162" "h163" "h164" "h165" "h166" "h167" "h168"
"1" " EURYALE DEHAYNIN" 2.37738886313363 48.8863000510864 0.0384615384615385 0.0384615384615385 0.0769230769230769 0.0384615384615385 0.0384615384615385 0.0384615384615385 0.0384615384615385 0.0384615384615385 0.107142857142857 0 0 0 0 0 0 0 0.0357142857142857 0.107142857142857 0.107142857142857 0.25 0.392857142857143 0.428571428571429 0.5 0.392857142857143 0.392857142857143 0.535714285714286 0.571428571428571 0.571428571428571 0.571428571428571 0.571428571428571 0.571428571428571 0.571428571428571 0.535714285714286 0.111111111111111 0 0 0.037037037037037 0.111111111111111 0.111111111111111 0.037037037037037 0 0.037037037037037 0.185185185185185 0.148148148148148 0.148148148148148 0.222222222222222 0.62962962962963 0.444444444444444 0.296296296296296 0.222222222222222 0.481481481481481 0.555555555555556 0.592592592592593 0.592592592592593 0.592592592592593 0.555555555555556 0.518518518518518 0.185185185185185 0 0 0 0 0 0.0357142857142857 0.142857142857143 0 0.107142857142857 0.5 1 0.964285714285714 0.964285714285714 0.777777777777778 0.333333333333333 0.285714285714286 0.464285714285714 0.571428571428571 0.5 0.5 0.5 0.464285714285714 0.5 0.0357142857142857 0.0714285714285714 0.0714285714285714 0.0714285714285714 0.107142857142857 0.214285714285714 0.214285714285714 0.0357142857142857 0.0357142857142857 0.107142857142857 0.321428571428571 0.75 1 0.814814814814815 0.703703703703704 0.444444444444444 0.555555555555556 0.592592592592593 0.518518518518518 0.62962962962963 0.592592592592593 0.666666666666667 0.592592592592593 0.703703703703704 0.0357142857142857 0.0357142857142857 0.0357142857142857 0.0357142857142857 0.142857142857143 0.178571428571429 0.0714285714285714 0 0.0357142857142857 0.107142857142857 0.428571428571429 0.892857142857143 0.821428571428571 0.928571428571429 1 0.642857142857143 0.535714285714286 0.25 0.321428571428571 0.285714285714286 0.357142857142857 0.357142857142857 0.357142857142857 0.321428571428571 0.321428571428571 0.357142857142857 0.321428571428571 0.214285714285714 0.25 0.0357142857142857 0 0.0357142857142857 0.0714285714285714 0.285714285714286 0.0357142857142857 0.37037037037037 0 0.037037037037037 0.111111111111111 0.0740740740740741 0.148148148148148 0.111111111111111 0.111111111111111 0.148148148148148 0.148148148148148 0.148148148148148 0.111111111111111 0.111111111111111 0.185185185185185 0.111111111111111 0.111111111111111 0.0740740740740741 0.0740740740740741 0.296296296296296 0.111111111111111 0.111111111111111 0.148148148148148 0.307692307692308 0.0769230769230769 0.115384615384615 0.0769230769230769 0.153846153846154 0.153846153846154
"2" " LEMERCIER" 2.3175909298999 48.890020496141 0.478260869565217 0.478260869565217 0.478260869565217 0.434782608695652 0.434782608695652 0.434782608695652 0.434782608695652 0.434782608695652 0.260869565217391 0.0434782608695652 0.130434782608696 0.0869565217391304 0.0869565217391304 0.0434782608695652 0.0869565217391304 0.0434782608695652 0 0.0434782608695652 0.0434782608695652 0.130434782608696 0.782608695652174 0.91304347826087 1 0.91304347826087 1 1 1 1 1 1 1 1 1 0 0.0434782608695652 0 0 0.0869565217391304 0 0.0434782608695652 0.0869565217391304 0.0869565217391304 0 0.652173913043478 1 0.956521739130435 1 0.956521739130435 1 1 0.826086956521739 0.826086956521739 0.826086956521739 0.826086956521739 0.826086956521739 0.826086956521739 0.695652173913043 0 0.0434782608695652 0 0.0434782608695652 0 0 0.0434782608695652 0.0869565217391304 0.0869565217391304 0.217391304347826 0.608695652173913 0.869565217391304 0.782608695652174 0.869565217391304 0.956521739130435 1 0.91304347826087 0.956521739130435 0.956521739130435 1 1 1 1 0.782608695652174 0 0 0 0.0434782608695652 0 0 0.0869565217391304 0.130434782608696 0.173913043478261 0.347826086956522 0.478260869565217 1 1 1 0.869565217391304 1 1 0.826086956521739 0.826086956521739 0.826086956521739 0.826086956521739 0.826086956521739 0.739130434782609 0.391304347826087 0 0 0 0.0434782608695652 0.0869565217391304 0.0869565217391304 0 0.173913043478261 0.130434782608696 0.347826086956522 0.782608695652174 0.956521739130435 1 0.869565217391304 0.956521739130435 1 1 1 1 1 1 1 1 0.956521739130435 0.826086956521739 0.826086956521739 0.652173913043478 0.565217391304348 0.304347826086957 0.130434782608696 0.0434782608695652 0 0.217391304347826 0 0.260869565217391 0.260869565217391 0.347826086956522 0.521739130434783 0.608695652173913 0.391304347826087 0.391304347826087 0.565217391304348 0.695652173913043 0.695652173913043 0.695652173913043 0.695652173913043 0.695652173913043 0.782608695652174 0.739130434782609 0.739130434782609 0.565217391304348 0.260869565217391 0.173913043478261 0.0434782608695652 0 0.217391304347826 0.130434782608696 0.0454545454545455 0.173913043478261 0.173913043478261 0.173913043478261 0.260869565217391 0.391304347826087
"3" " MEZIERES RENNES" 2.33044682027725 48.8502970102176 0.218181818181818 0.145454545454545 0.127272727272727 0.109090909090909 0.109090909090909 0.109090909090909 0.0909090909090909 0.0909090909090909 0.0545454545454545 0.109090909090909 0.254545454545455 0.363636363636364 0.381818181818182 0.170212765957447 0.369565217391304 0.478260869565217 0.456521739130435 0.5 0.521739130434783 0.478260869565217 0.41304347826087 0.347826086956522 0.391304347826087 0.282608695652174 0.282608695652174 0.282608695652174 0.347826086956522 0.347826086956522 0.347826086956522 0.347826086956522 0.347826086956522 0.347826086956522 0.260869565217391 0.527272727272727 0.654545454545455 0.727272727272727 0.872727272727273 0.818181818181818 1 0.927272727272727 0.909090909090909 0.836363636363636 0.727272727272727 0.654545454545455 0.654545454545455 0.890909090909091 0.981818181818182 0.945454545454545 0.890909090909091 0.418181818181818 0.4 0.4 0.4 0.236363636363636 0.236363636363636 0.218181818181818 0.109090909090909 0.127272727272727 0.236363636363636 0.327272727272727 0.490909090909091 0.472727272727273 0.527272727272727 0.490909090909091 0.454545454545455 0.454545454545455 0.472727272727273 0.327272727272727 0.381818181818182 0.436363636363636 0.436363636363636 0.4 0.381818181818182 0.418181818181818 0.4 0.418181818181818 0.418181818181818 0.436363636363636 0.436363636363636 0.418181818181818 0.327272727272727 0.345454545454545 0.454545454545455 0.454545454545455 0.4 0.418181818181818 0.509090909090909 0.436363636363636 0.581818181818182 0.618181818181818 0.618181818181818 0.618181818181818 0.436363636363636 0.454545454545455 0.436363636363636 0.527272727272727 0.454545454545455 0.418181818181818 0.4 0.418181818181818 0.4 0.4 0.4 0.4 0.254545454545455 0.296296296296296 0.388888888888889 0.436363636363636 0.418181818181818 0.4 0.618181818181818 0.636363636363636 0.818181818181818 0.927272727272727 0.963636363636364 0.981818181818182 0.963636363636364 0.854545454545454 0.727272727272727 0.745454545454545 0.472727272727273 0.563636363636364 0.490909090909091 0.472727272727273 0.454545454545455 0.454545454545455 0.454545454545455 0.436363636363636 0.418181818181818 0.436363636363636 0.436363636363636 0.527272727272727 0.581818181818182 0.563636363636364 0.509090909090909 0.563636363636364 0.618181818181818 0.672727272727273 0.618181818181818 0.6 0.537037037037037 0.62962962962963 0.666666666666667 0.592592592592593 0.62962962962963 0.648148148148148 0.574074074074074 0.555555555555556 0.5 0.5 0.5 0.555555555555556 0.555555555555556 0.518518518518518 0.537037037037037 0.425925925925926 0.407407407407407 0.333333333333333 0.259259259259259 0.259259259259259 0.203703703703704 0.12962962962963 0.148148148148148 0.296296296296296 0.314814814814815 0.37037037037037 0.37037037037037 0.407407407407407
"4" " FARMAN" 2.27139647246143 48.8337338301773 0.952380952380952 0.952380952380952 0.952380952380952 0.952380952380952 0.952380952380952 0.952380952380952 0.952380952380952 1 1 1 1 0.952380952380952 1 1 1 1 1 0.952380952380952 0.142857142857143 0.0952380952380952 0.19047619047619 0.0952380952380952 0.0952380952380952 0.0476190476190476 0.0476190476190476 0.0476190476190476 0.0476190476190476 0.0476190476190476 0.0476190476190476 0.0476190476190476 0.0476190476190476 0.0476190476190476 0.285714285714286 1 1 0.952380952380952 1 0.571428571428571 0.619047619047619 0.857142857142857 0.761904761904762 0.761904761904762 0.142857142857143 0.0952380952380952 0.0952380952380952 0.0952380952380952 0.0952380952380952 0.0952380952380952 0.142857142857143 0.142857142857143 0.0952380952380952 0.19047619047619 0.19047619047619 0.19047619047619 0.19047619047619 0.19047619047619 0.476190476190476 1 1 1 0.888888888888889 0.111111111111111 0.166666666666667 0.277777777777778 0.5 0.5 0.0555555555555556 0 0.111111111111111 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0.529411764705882 0.952380952380952 1 1 0.857142857142857 0.571428571428571 0.619047619047619 0.761904761904762 0.714285714285714 0.523809523809524 0.0952380952380952 0 0.0476190476190476 0.0476190476190476 0.0476190476190476 0.0476190476190476 0 0.0952380952380952 0.0476190476190476 0.0476190476190476 0.0476190476190476 0.0476190476190476 0.0476190476190476 0.0952380952380952 0.380952380952381 1 0.619047619047619 0.761904761904762 0.714285714285714 0.428571428571429 0.952380952380952 0.904761904761905 0.761904761904762 0.238095238095238 0.0476190476190476 0 0 0.0476190476190476 0.0952380952380952 0.0952380952380952 0.142857142857143 0.0952380952380952 0.0952380952380952 0.142857142857143 0.142857142857143 0.142857142857143 0.142857142857143 0.142857142857143 0.142857142857143 0.142857142857143 0.19047619047619 0.380952380952381 0.523809523809524 0.476190476190476 0.428571428571429 0.380952380952381 0.523809523809524 0.619047619047619 0.523809523809524 0.571428571428571 0.428571428571429 0.428571428571429 0.333333333333333 0.333333333333333 0.333333333333333 0.333333333333333 0.380952380952381 0.380952380952381 0.380952380952381 0.380952380952381 0.380952380952381 0.380952380952381 0.380952380952381 0.380952380952381 0.523809523809524 0.904761904761905 1 1 1 1 0.904761904761905 0.857142857142857 0.857142857142857 0.857142857142857 0.761904761904762 0.761904761904762 0.761904761904762 0.761904761904762
"5" " QUAI DE LA RAPEE" 2.36689679377372 48.8458869463868 0.927536231884058 0.811594202898551 0.739130434782609 0.72463768115942 0.72463768115942 0.72463768115942 0.72463768115942 0.72463768115942 0.753623188405797 0.971014492753623 1 1 0.933333333333333 0.844444444444444 0.9 0.924528301886792 0.924528301886792 0.792452830188679 0.584905660377358 0.423076923076923 0.313725490196078 0.423076923076923 0.442307692307692 0.346153846153846 0.403846153846154 0.358490566037736 0.433962264150943 0.39622641509434 0.320754716981132 0.320754716981132 0.320754716981132 0.320754716981132 0.339285714285714 0.579710144927536 0.840579710144927 0.811594202898551 0.739130434782609 0.623188405797101 0.753623188405797 0.91304347826087 0.926470588235294 0.942028985507246 0.898550724637681 0.753623188405797 0.720588235294118 0.652173913043478 0.608695652173913 0.623188405797101 0.594202898550725 0.507246376811594 0.434782608695652 0.391304347826087 0.36231884057971 0.347826086956522 0.27536231884058 0.27536231884058 0.260869565217391 0.544117647058823 0.794117647058823 0.823529411764706 0.805970149253731 0.676470588235294 0.647058823529412 0.691176470588235 0.805970149253731 0.815384615384615 0.681818181818182 0.560606060606061 0.545454545454545 0.545454545454545 0.492537313432836 0.338235294117647 0.25 0.147058823529412 0.0588235294117647 0.0588235294117647 0.0735294117647059 0.0588235294117647 0.0588235294117647 0.0588235294117647 0.102941176470588 0.397058823529412 0.746268656716418 0.686567164179104 0.686567164179104 0.611940298507463 0.73134328358209 0.73134328358209 0.716417910447761 0.701492537313433 0.686567164179104 0.686567164179104 0.53030303030303 0.681818181818182 0.656716417910448 0.686567164179104 0.611940298507463 0.492537313432836 0.432835820895522 0.388059701492537 0.26865671641791 0.283582089552239 0.257575757575758 0.283582089552239 0.227272727272727 0.492537313432836 0.863636363636364 0.863636363636364 0.833333333333333 0.830769230769231 0.893939393939394 0.96969696969697 0.96969696969697 0.8 0.712121212121212 0.6 0.393939393939394 0.5 0.630769230769231 0.753846153846154 0.769230769230769 0.846153846153846 0.738461538461539 0.65625 0.615384615384615 0.5 0.393939393939394 0.348484848484849 0.303030303030303 0.348484848484849 0.303030303030303 0.348484848484849 0.363636363636364 0.261538461538462 0.212121212121212 0.257575757575758 0.287878787878788 0.265625 0.09375 0.0625 0.142857142857143 0.125 0.078125 0.242424242424242 0.348484848484849 0.393939393939394 0.393939393939394 0.318181818181818 0.272727272727273 0.196969696969697 0.166666666666667 0.166666666666667 0.121212121212121 0.106060606060606 0.136363636363636 0.181818181818182 0.212121212121212 0.318181818181818 0.227272727272727 0.454545454545455 0.590909090909091 0.833333333333333 1 0.818181818181818 0.636363636363636 0.712121212121212 0.621212121212121 0.575757575757576
"6" " CHOISY POINT D'IVRY" 2.36333471061476 48.8219079688117 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.0833333333333333 0 0.0416666666666667 0 0 0.166666666666667 0.208333333333333 0.25 0 0.0416666666666667 0.0416666666666667 0.25 0.458333333333333 0.625 0.791666666666667 0.583333333333333 0.583333333333333 0.75 0.708333333333333 0.708333333333333 0.708333333333333 0.708333333333333 0.75 0.666666666666667 0.583333333333333 0.333333333333333 0.125 0.125 0.0416666666666667 0.125 0.0416666666666667 0.0416666666666667 0.0833333333333333 0.333333333333333 0.333333333333333 0.708333333333333 0.5 0.791666666666667 0.625 0.541666666666667 0.5 0.458333333333333 0.541666666666667 0.666666666666667 0.666666666666667 0.708333333333333 0.708333333333333 0.666666666666667 0.5 0.0416666666666667 0.0833333333333333 0.0833333333333333 0 0.125 0.166666666666667 0.25 0.333333333333333 0.416666666666667 0.166666666666667 0.375 0.375 0.166666666666667 0.25 0.5 0.458333333333333 0.625 0.583333333333333 0.583333333333333 0.625 0.625 0.625 0.5 0.333333333333333 0.0416666666666667 0 0.0833333333333333 0.166666666666667 0.25 0.333333333333333 0.375 0.291666666666667 0.333333333333333 0.125 0.375 0.208333333333333 0.375 0.291666666666667 0.166666666666667 0.0869565217391304 0.166666666666667 0.166666666666667 0.208333333333333 0.166666666666667 0.208333333333333 0.208333333333333 0.0833333333333333 0.0833333333333333 0 0.0416666666666667 0.0833333333333333 0.0416666666666667 0 0.0833333333333333 0.0416666666666667 0.291666666666667 0.416666666666667 0.333333333333333 0.666666666666667 0.666666666666667 0.708333333333333 0.583333333333333 0.875 0.875 0.916666666666667 0.875 0.875 0.958333333333333 0.958333333333333 0.916666666666667 0.791666666666667 0.666666666666667 0.708333333333333 0.791666666666667 0.708333333333333 0.75 0.666666666666667 0.958333333333333 0.875 0.416666666666667 0.217391304347826 0.173913043478261 0.434782608695652 0.304347826086957 0.0434782608695652 0.0434782608695652 0.0869565217391304 0.130434782608696 0.173913043478261 0.173913043478261 0.173913043478261 0.0434782608695652 0.0869565217391304 0.130434782608696 0.0434782608695652 0.0434782608695652 0.0434782608695652 0.173913043478261 0.173913043478261 0.0869565217391304 0.260869565217391 0.347826086956522 0.0869565217391304 0.115384615384615 0.0869565217391304 0.130434782608696 0.0869565217391304 0.0869565217391304 0.434782608695652 0.391304347826087 0.521739130434783
"7" " PORTE DE VILLIERS" 2.28766737081487 48.882877751786 0.384615384615385 0.384615384615385 0.358974358974359 0.358974358974359 0.358974358974359 0.358974358974359 0.358974358974359 0.358974358974359 0.307692307692308 0.0769230769230769 0.102564102564103 0.128205128205128 0.0769230769230769 0.230769230769231 0.230769230769231 0.282051282051282 0.41025641025641 0.512820512820513 0.461538461538462 0.564102564102564 0.41025641025641 0.641025641025641 0.692307692307692 0.666666666666667 0.641025641025641 0.58974358974359 0.615384615384615 0.615384615384615 0.666666666666667 0.666666666666667 0.641025641025641 0.641025641025641 0.564102564102564 0.230769230769231 0.102564102564103 0.153846153846154 0.153846153846154 0.153846153846154 0.179487179487179 0.153846153846154 0.153846153846154 0.230769230769231 0.230769230769231 0.358974358974359 0.282051282051282 0.41025641025641 0.384615384615385 0.538461538461538 0.538461538461538 0.538461538461538 0.538461538461538 0.538461538461538 0.41025641025641 0.41025641025641 0.41025641025641 0.384615384615385 0.256410256410256 0.128205128205128 0.0769230769230769 0.0526315789473684 0.0526315789473684 0.157894736842105 0.236842105263158 0.315789473684211 0.315789473684211 0.289473684210526 0.184210526315789 0.342105263157895 0.473684210526316 0.421052631578947 0.447368421052632 0.473684210526316 0.421052631578947 0.526315789473684 0.5 0.473684210526316 0.5 0.5 0.473684210526316 0.447368421052632 0.315789473684211 0.0789473684210526 0.128205128205128 0.128205128205128 0.0769230769230769 0.0769230769230769 0.0769230769230769 0.153846153846154 0.102564102564103 0.0512820512820513 0.0512820512820513 0.205128205128205 0.512820512820513 0.538461538461538 0.578947368421053 0.615384615384615 0.692307692307692 0.717948717948718 0.743589743589744 0.743589743589744 0.743589743589744 0.769230769230769 0.743589743589744 0.743589743589744 0.512820512820513 0.256410256410256 0.153846153846154 0.256410256410256 0.256410256410256 0.282051282051282 0.102564102564103 0.102564102564103 0.256410256410256 0.307692307692308 0.282051282051282 0.538461538461538 0.564102564102564 0.666666666666667 0.743589743589744 0.815789473684211 0.789473684210526 0.842105263157895 0.921052631578947 0.921052631578947 0.921052631578947 0.948717948717949 0.948717948717949 0.948717948717949 0.923076923076923 0.871794871794872 0.82051282051282 0.769230769230769 0.794871794871795 0.641025641025641 0.615384615384615 0.512820512820513 0.461538461538462 0.41025641025641 0.230769230769231 0.179487179487179 0.179487179487179 0.205128205128205 0.307692307692308 0.230769230769231 0.41025641025641 0.41025641025641 0.435897435897436 0.41025641025641 0.41025641025641 0.435897435897436 0.435897435897436 0.435897435897436 0.384615384615385 0.333333333333333 0.282051282051282 0.384615384615385 0.307692307692308 0.333333333333333 0.0769230769230769 0.0769230769230769 0.128205128205128 0.153846153846154 0.179487179487179 0.205128205128205 0.230769230769231 0.307692307692308 0.307692307692308 0.307692307692308
"8" " STALINGRAD (FONTENAY SOUS BOIS)" 2.45552917211114 48.8501252320561 0.274509803921569 0.294117647058824 0.333333333333333 0.333333333333333 0.333333333333333 0.333333333333333 0.333333333333333 0.333333333333333 0.196078431372549 0.0196078431372549 0 0 0 0.0392156862745098 0 0.0196078431372549 0.0392156862745098 0.0392156862745098 0 0.274509803921569 0.450980392156863 0.490196078431373 0.588235294117647 0.607843137254902 0.647058823529412 0.686274509803922 0.686274509803922 0.705882352941177 0.745098039215686 0.764705882352941 0.764705882352941 0.745098039215686 0.686274509803922 0.392156862745098 0.137254901960784 0.0588235294117647 0.0196078431372549 0.0392156862745098 0 0.0196078431372549 0.0196078431372549 0 0.137254901960784 0.254901960784314 0.470588235294118 0.549019607843137 0.647058823529412 0.705882352941177 0.745098039215686 0.725490196078431 0.745098039215686 0.745098039215686 0.745098039215686 0.745098039215686 0.725490196078431 0.725490196078431 0.470588235294118 0.0980392156862745 0 0 0 0 0.0392156862745098 0.0392156862745098 0.0784313725490196 0.0392156862745098 0.137254901960784 0.294117647058824 0.431372549019608 0.529411764705882 0.568627450980392 0.666666666666667 0.725490196078431 0.784313725490196 0.784313725490196 0.784313725490196 0.803921568627451 0.803921568627451 0.784313725490196 0.784313725490196 0.588235294117647 0.294117647058824 0.176470588235294 0.117647058823529 0.0784313725490196 0.117647058823529 0.0784313725490196 0.0392156862745098 0.0196078431372549 0.0392156862745098 0.176470588235294 0.313725490196078 0.333333333333333 0.392156862745098 0.431372549019608 0.470588235294118 0.568627450980392 0.686274509803922 0.686274509803922 0.686274509803922 0.686274509803922 0.686274509803922 0.666666666666667 0.627450980392157 0.372549019607843 0.117647058823529 0.0196078431372549 0.0392156862745098 0 0.0392156862745098 0.0196078431372549 0 0 0 0.0980392156862745 0.0980392156862745 0.274509803921569 0.215686274509804 0.372549019607843 0.392156862745098 0.450980392156863 0.607843137254902 0.686274509803922 0.745098039215686 0.764705882352941 0.823529411764706 0.823529411764706 0.784313725490196 0.745098039215686 0.686274509803922 0.627450980392157 0.627450980392157 0.568627450980392 0.568627450980392 0.509803921568627 0.450980392156863 0.450980392156863 0.392156862745098 0.294117647058824 0.392156862745098 0.215686274509804 0.215686274509804 0.137254901960784 0.156862745098039 0.352941176470588 0.392156862745098 0.509803921568627 0.549019607843137 0.666666666666667 0.686274509803922 0.647058823529412 0.647058823529412 0.568627450980392 0.568627450980392 0.529411764705882 0.490196078431373 0.490196078431373 0.431372549019608 0.411764705882353 0.392156862745098 0.294117647058824 0.294117647058824 0.333333333333333 0.313725490196078 0.431372549019608 0.470588235294118 0.470588235294118 0.549019607843137
"9" " GARE RER (JOINVILLE)" 2.46402550470253 48.819954101228 0.911111111111111 0.933333333333333 0.933333333333333 0.933333333333333 0.933333333333333 0.933333333333333 0.933333333333333 0.933333333333333 0.933333333333333 0.888888888888889 0.933333333333333 0.933333333333333 0.911111111111111 0.911111111111111 0.911111111111111 0.911111111111111 0.977777777777778 0.977777777777778 0.955555555555556 1 1 1 0.977777777777778 0.955555555555556 0.955555555555556 0.622222222222222 0.622222222222222 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 0.644444444444444 0.644444444444444 0.533333333333333 0.4 0.4 0.4 0.444444444444444 0.4 0.422222222222222 0.511111111111111 0.422222222222222 0.355555555555556 0.466666666666667 0.6 0.577777777777778 0.577777777777778 0.577777777777778 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.488888888888889 0.377777777777778 0.377777777777778 0.355555555555556 0.377777777777778 0.4 0.444444444444444 0.466666666666667 0.466666666666667 0.511111111111111 0.454545454545455 0.5 0.409090909090909 0.386363636363636 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.454545454545455 0.477272727272727 0.477272727272727 0.5 0.5 0.431818181818182 0.431818181818182 0.431818181818182 0.386363636363636 0.431818181818182 0.431818181818182 0.431818181818182 0.477272727272727 0.5 0.522727272727273 0.522727272727273 0.522727272727273 0.5 0.5 0.5 0.522727272727273 0.522727272727273 0.522727272727273 0.522727272727273 0.568181818181818 0.590909090909091 0.590909090909091 0.590909090909091 0.568181818181818 0.522727272727273 0.477272727272727 0.454545454545455 0.454545454545455 0.477272727272727 0.454545454545455 0.431818181818182 0.454545454545455 0.454545454545455 0.522727272727273 0.522727272727273 0.477272727272727 0.545454545454545 0.545454545454545 0.545454545454545 0.568181818181818 0.590909090909091 0.636363636363636 0.659090909090909 0.704545454545455 0.727272727272727 0.727272727272727 0.704545454545455 0.704545454545455 0.727272727272727 0.727272727272727 0.727272727272727 0.772727272727273 0.688888888888889 0.688888888888889 0.688888888888889 0.644444444444444 0.622222222222222 0.6 0.533333333333333 0.622222222222222 0.622222222222222 0.622222222222222 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 0.688888888888889 0.644444444444444 0.666666666666667 0.666666666666667 0.688888888888889 0.644444444444444 0.622222222222222 0.644444444444444 0.755555555555556 0.772727272727273 0.755555555555556 0.733333333333333 0.777777777777778 0.866666666666667 0.844444444444444 0.622222222222222 0.590909090909091 0.636363636363636 0.75 0.75 0.727272727272727
"10" " MOUFFETARD EPEE DE BOIS" 2.34998304702979 48.8415076373901 0.904761904761905 0.984126984126984 0.984126984126984 0.984126984126984 0.984126984126984 0.968253968253968 0.984126984126984 0.968253968253968 0.968253968253968 0.952380952380952 0.984126984126984 1 0.952380952380952 1 0.920634920634921 1 1 0.968253968253968 0.984126984126984 0.952380952380952 0.904761904761905 1 0.952380952380952 0.968253968253968 1 0.984126984126984 0.984126984126984 1 1 1 0.984126984126984 0.968253968253968 0.920634920634921 0.746031746031746 0.904761904761905 0.968253968253968 0.968253968253968 0.920634920634921 0.968253968253968 0.936507936507937 0.968253968253968 0.951612903225806 0.774193548387097 0.645161290322581 0.338709677419355 0.387096774193548 0.5 0.564516129032258 0.580645161290323 0.645161290322581 0.67741935483871 0.67741935483871 0.693548387096774 0.693548387096774 0.709677419354839 0.709677419354839 0.629032258064516 0.370967741935484 0.467741935483871 0.435483870967742 0.451612903225806 0.419354838709677 0.338709677419355 0.306451612903226 0.403225806451613 0.387096774193548 0.225806451612903 0.0645161290322581 0.032258064516129 0.0161290322580645 0.0967741935483871 0.209677419354839 0.241935483870968 0.32258064516129 0.290322580645161 0.32258064516129 0.32258064516129 0.32258064516129 0.338709677419355 0.338709677419355 0.274193548387097 0.112903225806452 0.301587301587302 0.380952380952381 0.412698412698413 0.396825396825397 0.317460317460317 0.206349206349206 0.253968253968254 0.285714285714286 0 0.0317460317460317 0.0317460317460317 0.111111111111111 0.158730158730159 0.19047619047619 0.142857142857143 0.19047619047619 0.206349206349206 0.222222222222222 0.206349206349206 0.206349206349206 0.222222222222222 0.253968253968254 0.142857142857143 0.0793650793650794 0.0952380952380952 0.126984126984127 0.126984126984127 0.317460317460317 0.333333333333333 0.333333333333333 0.317460317460317 0.253968253968254 0.158730158730159 0 0 0.0476190476190476 0.111111111111111 0.206349206349206 0.158730158730159 0.253968253968254 0.19047619047619 0.317460317460317 0.380952380952381 0.428571428571429 0.365079365079365 0.380952380952381 0.317460317460317 0.253968253968254 0.174603174603175 0.0793650793650794 0.0317460317460317 0.111111111111111 0.0634920634920635 0.0793650793650794 0.0476190476190476 0.111111111111111 0.0793650793650794 0.206349206349206 0.0317460317460317 0.0476190476190476 0.206349206349206 0.126984126984127 0.126984126984127 0.428571428571429 0.317460317460317 0.301587301587302 0.317460317460317 0.333333333333333 0.349206349206349 0.349206349206349 0.349206349206349 0.333333333333333 0.380952380952381 0.285714285714286 0.317460317460317 0.142857142857143 0.19047619047619 0.111111111111111 0.126984126984127 0.0476190476190476 0.0317460317460317 0.0634920634920635 0.0952380952380952 0.0952380952380952 0.142857142857143 0.142857142857143
